LDCpointID,ProjectKey,PrimaryKey,DateVisited,Trt_Type_Major,Trt_Type_Sub,most_recent_comp,recent_trt_count
79,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_030_V12020-09-01,2020-10-20,NA,NA,NA,NA
80,BLM_AIM,NM_Carlsbad_LUP_2019_Gypsum_469_V12020-09-01,2020-09-23,Prescribed Burn,Prescribed Burn,2016-03-04,1
81,BLM_AIM,NML00000_2020_Sandy_5142019-09-01,2019-10-03,NA,NA,NA,NA
82,BLM_AIM,20113525010301O1,2011-08-09,NA,NA,NA,NA
83,BLM_AIM,1610040933567712016-09-01,2016-10-03,NA,NA,NA,NA
84,BLM_AIM,NM_LasCrucesDO_2016_LUP_Bottom-003_V22021-09-01,2021-08-23,NA,NA,NA,NA
85,BLM_AIM,20183513201418B1,2018-04-05,NA,NA,NA,NA
86,BLM_AIM,AZ_TFO_LUP_2020_SP-396_V12023-09-01,2023-09-23,NA,NA,NA,NA
87,BLM_AIM,AZ_AZ-Tucson-Field-Office-2021_WHWD-413_V12021-09-01,2021-10-14,NA,NA,NA,NA
89,BLM_AIM,20183513201418B3,2018-04-05,NA,NA,NA,NA
91,BLM_AIM,18101511224069032018-09-01,2018-10-23,NA,NA,NA,NA
92,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-473_V22021-09-01,2021-08-25,NA,NA,NA,NA
93,BLM_AIM,17101616020163562017-09-01,2017-10-15,NA,NA,NA,NA
94,BLM_AIM,NMP02000_Year1_ChiActive_0022019-09-01,2019-08-21,NA,NA,NA,NA
95,BLM_AIM,20092309445389522020-09-01,2020-09-22,NA,NA,NA,NA
96,BLM_AIM,AZ_TFO_LUP_2020_SP_384_V12022-09-01,2022-09-24,NA,NA,NA,NA
97,BLM_AIM,NMP02000_Year1_Gypsum_4652019-09-01,2019-10-22,Prescribed Burn,Prescribed Burn,2018-03-07,1
98,BLM_AIM,20233515200120B1,2023-05-23,NA,NA,NA,NA
99,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-469_V22021-09-01,2021-08-26,NA,NA,NA,NA
100,BLM_AIM,16100515373142542016-09-01,2016-10-04,NA,NA,NA,NA
101,BLM_AIM,20233515200120B2,2023-05-23,NA,NA,NA,NA
102,BLM_AIM,20113529010901O2,2011-08-10,NA,NA,NA,NA
103,BLM_AIM,18110212070837412018-09-01,2018-11-01,NA,NA,NA,NA
104,BLM_AIM,20123515010901O1,2012-06-12,NA,NA,NA,NA
105,BLM_AIM,NM_LasCrucesDO_2016_LUP_Hills-196_V22021-09-01,2021-08-16,NA,NA,NA,NA
106,BLM_AIM,17120108013662422017-09-01,2017-10-20,NA,NA,NA,NA
107,BLM_AIM,20113529010901O3,2011-08-10,NA,NA,NA,NA
108,BLM_AIM,AZ_TFO_LUP_2020_SP_380_V12022-09-01,2022-09-22,NA,NA,NA,NA
109,BLM_AIM,NMP02000_Year1_HabActive_5172019-09-01,2019-11-26,NA,NA,NA,NA
110,BLM_AIM,NMP02000_2019_Reclaim_1012019-09-01,2019-10-23,NA,NA,NA,NA
111,BLM_AIM,20123515010901O2,2012-08-15,NA,NA,NA,NA
112,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_041_V12021-09-01,2021-07-14,NA,NA,NA,NA
114,BLM_AIM,16111616433990922016-09-01,2016-11-15,NA,NA,NA,NA
115,BLM_AIM,NM_LasCrucesDO_2016_LUP_Mal-387_V22021-09-01,2021-08-18,NA,NA,NA,NA
116,BLM_AIM,18010509452916612017-09-01,2017-10-21,NA,NA,NA,NA
117,BLM_AIM,19081609421289502019-09-01,2019-08-15,NA,NA,NA,NA
118,BLM_AIM,19081615144188722019-09-01,2019-08-15,NA,NA,NA,NA
119,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_034_V12021-09-01,2021-06-21,Prescribed Burn,Prescribed Burn,2016-03-24,1
120,BLM_AIM,NMP02000_Year1_ChiActive_0092019-09-01,2019-09-04,NA,NA,NA,NA
121,BLM_AIM,20213515200110B1,2021-06-23,Herbicide/Weeds/Chemical,Herbicide,2007-06-19,1
122,BLM_AIM,NML00000_2020_Shallow_5702019-09-01,2019-10-02,NA,NA,NA,NA
123,BLM_AIM,18112321435962012018-09-01,2018-08-13,NA,NA,NA,NA
124,BLM_AIM,20153525201718B2,2015-09-01,NA,NA,NA,NA
125,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_018_V12020-09-01,2020-08-17,Prescribed Burn,Prescribed Burn,2017-03-03,1
126,BLM_AIM,18111909175538052018-09-01,2018-08-06,NA,NA,NA,NA
127,BLM_AIM,20213515200110B2,2021-06-23,NA,NA,NA,NA
128,BLM_AIM,NM_Carlsbad_LUP_2019_ChiStatic_231_V12021-09-01,2021-10-12,NA,NA,NA,NA
129,BLM_AIM,NML00000_2019_Loam_3452019-09-01,2019-10-16,NA,NA,NA,NA
130,BLM_AIM,1908200908402342019-09-01,2019-08-19,NA,NA,NA,NA
131,BLM_AIM,NML00000_Panel2_MIMB_0162019-09-01,2019-09-20,NA,NA,NA,NA
132,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_080_V12020-09-01,2020-10-03,NA,NA,NA,NA
133,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_541_V12020-09-01,2020-11-09,NA,NA,NA,NA
134,BLM_AIM,AZ_TFO_LUP_2020_WHWD-418_V12023-09-01,2023-09-10,NA,NA,NA,NA
135,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-470_V22021-09-01,2021-08-26,NA,NA,NA,NA
136,BLM_AIM,NM_Carlsbad_LUP_2019_ChiStatic_219_V12020-09-01,2020-09-01,NA,NA,NA,NA
137,BLM_AIM,16100310170018152016-09-01,2016-10-02,NA,NA,NA,NA
138,BLM_AIM,NML00000_2020_Loam_3472019-09-01,2019-10-16,NA,NA,NA,NA
139,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_168_V12022-09-01,2022-11-03,NA,NA,NA,NA
140,BLM_AIM,NML00000_2019_Loam_3462019-09-01,2019-10-17,NA,NA,NA,NA
141,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-483_V22021-09-01,2021-10-04,NA,NA,NA,NA
142,BLM_AIM,17120109184541602017-09-01,2017-10-17,NA,NA,NA,NA
143,BLM_AIM,1811231303578082018-09-01,2018-08-07,NA,NA,NA,NA
144,BLM_AIM,16100313165889972016-09-01,2016-10-02,NA,NA,NA,NA
145,BLM_AIM,NM_LasCrucesDO_2016_LUP_Shallow-548_V22021-09-01,2021-08-25,NA,NA,NA,NA
146,BLM_AIM,NML00000_2019_Mal_3982019-09-01,2019-10-12,NA,NA,NA,NA
