Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID
26093,73620,2010-03-08,2010-04-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30667
26094,73621,2010-04-20,2010-09-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30668
26095,73622,2010-02-08,2010-02-08,Prescribed Burn,Prescribed Burn,Prescribed Burn,30669
26096,73623,2011-05-05,2012-05-08,Prescribed Burn,Prescribed Burn,Prescribed Burn,30670
26097,73624,2011-08-19,2011-08-26,Prescribed Burn,Prescribed Burn,Prescribed Burn,30671
26098,73625,2011-10-26,2012-09-14,Prescribed Burn,Prescribed Burn,Prescribed Burn,30672
26099,73626,2011-09-02,2011-09-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30673
26100,73627,2011-10-14,2011-10-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30674
26101,73628,2011-06-27,2011-07-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30675
26102,73629,2011-03-28,2011-11-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30676
26103,73630,2011-03-01,2011-04-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30677
26104,73631,2011-03-15,2013-07-18,Prescribed Burn,Prescribed Burn,Prescribed Burn,30678
26105,73632,2011-04-01,2011-05-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30679
26106,73633,2011-09-27,2011-09-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30680
26108,73635,2011-10-01,2011-10-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30682
26109,73636,2011-10-17,2011-10-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30683
26110,73637,2011-02-11,2011-02-12,Prescribed Burn,Prescribed Burn,Prescribed Burn,30684
26112,73639,2012-04-09,2012-04-24,Prescribed Burn,Prescribed Burn,Prescribed Burn,30686
26113,73640,2012-02-24,2012-03-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30687
26114,73641,2012-04-18,2012-04-24,Prescribed Burn,Prescribed Burn,Prescribed Burn,30688
26115,73642,2012-10-01,2013-05-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30689
