NameCode,Scientific,CurrentPLANTSCode,GrowthHabit,GrowthHabitSub,Duration,Nonnative,Invasive,GrowthHabitSub2
HEOC,Hedysarum occidentale,HEOC,NonWoody,Forb,Perennial,NATIVE,,Forb
HEPA,Helianthella parryi,HEPA,NonWoody,Forb,Perennial,NATIVE,,Forb
HEPA11,Heuchera parvifolia,HEPA11,NonWoody,Forb,Perennial,NATIVE,,Forb
HEPA19,Helianthus pauciflorus,HEPA19,NonWoody,Forb,Perennial,NATIVE,,Forb
HEPE,Helianthus petiolaris,HEPE,NonWoody,Forb,Annual,NATIVE,,Forb
HEPI2,Heterosperma pinnatum,HEPI2,NonWoody,Forb,Annual,NATIVE,,Forb
HEPU6,Hesperochiron pumilus,HEPU6,NonWoody,Forb,Perennial,NATIVE,,Forb
HESPE11,Hesperostipa,HESPE11,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HETE5,Hesperocnide tenella,HETE5,NonWoody,Forb,Annual,NATIVE,,Forb
HEUCH,Heuchera,HEUCH,NonWoody,Forb,Perennial,NATIVE,,Forb
HEUN,Helianthella uniflora,HEUN,NonWoody,Forb,Perennial,NATIVE,,Forb
HEVI4,Heterotheca villosa,HEVI4,NonWoody,Forb,Perennial,NATIVE,,Forb
HEVIV,Heterotheca villosa var. villosa,HEVIV,NonWoody,Forb,Perennial,NATIVE,,Forb
HIAU,Hieracium aurantiacum,HIAU,NonWoody,Forb,Perennial,EXOTIC,INVASIVE,Forb
HIBE,Hilaria belangeri,HIBE,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HICY,Hieracium cynoglossoides,HICY,NonWoody,Forb,Perennial,NATIVE,,Forb
HIDE,Hibiscus denudatus,HIDE,Woody,SubShrub,Perennial,NATIVE,,Shrub
HIERA,Hieracium,HIERA,NonWoody,Forb,Perennial,NATIVE,,Forb
HIPPU,Hippuris,HIPPU,NonWoody,Forb,Perennial,NATIVE,,Forb
HISC2,Hieracium scouleri,HISC2,NonWoody,Forb,Perennial,NATIVE,,Forb
HIUM,Hieracium umbellatum,HIUM,NonWoody,Forb,Perennial,NATIVE,,Forb
HOAC,Houstonia acerosa,HOAC,NonWoody,Forb,Perennial,NATIVE,,Forb
HOBR2,Hordeum brachyantherum,HOBR2,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HODI,Holodiscus discolor,HODI,Woody,Shrub,Perennial,NATIVE,,Shrub
HODR,Hoffmannseggia drepanocarpa,HODR,NonWoody,Forb,Perennial,NATIVE,,Forb
HODU,Holodiscus dumosus,HODU,Woody,Shrub,Perennial,NATIVE,,Shrub
HOFFM,Hoffmannseggia,HOFFM,NonWoody,Forb,Perennial,NATIVE,,Forb
HOGL2,Hoffmannseggia glauca,HOGL2,NonWoody,Forb,Perennial,NATIVE,,Forb
HOJU,Hordeum jubatum,HOJU,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HOLOS,Holosteum,HOLOS,NonWoody,Forb,Annual,EXOTIC,,Forb
HOPR4,Hornungia procumbens,HOPR4,NonWoody,Forb,Annual,NATIVE,,Forb
HOPU,Hordeum pusillum,HOPU,NonWoody,Graminoid,Annual,NATIVE,,Graminoid
HORDE,Hordeum,HORDE,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HOUM,Holosteum umbellatum,HOUM,NonWoody,Forb,Annual,EXOTIC,,Forb
HYCA4,Hydrophyllum capitatum,HYCA4,NonWoody,Forb,Perennial,NATIVE,,Forb
HYCAC,Hydrophyllum capitatum var. capitatum,HYCAC,NonWoody,Forb,Perennial,NATIVE,,Forb
HYCO2,Hymenoxys cooperi,HYCO2,NonWoody,Forb,Annual,NATIVE,,Forb
HYDRO4,Hydrophyllum,HYDRO4,NonWoody,Forb,Perennial,NATIVE,,Forb
HYEM,Hyptis emoryi,HYEM,Woody,Shrub,Perennial,NATIVE,,Shrub
HYFE,Hydrophyllum fendleri,HYFE,NonWoody,Forb,Perennial,NATIVE,,Forb
HYFI,Hymenopappus filifolius,HYFI,NonWoody,Forb,Perennial,NATIVE,,Forb
HYFL,Hymenopappus flavescens,HYFL,NonWoody,Forb,Annual,NATIVE,,Forb
HYHO,Hymenoxys hoopesii,HYHO,NonWoody,Forb,Perennial,NATIVE,,Forb
HYLOT,Hylotelephium,HYLOT,,,,NATIVE,,
HYMEN3,Hymenoclea,HYMEN3,Woody,Shrub,Perennial,NATIVE,,Shrub
HYMEN7,Hymenoxys,HYMEN7,NonWoody,Forb,Perennial,NATIVE,,Forb
HYNI,Hyoscyamus niger,HYNI,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
HYOD,Hymenoxys odorata,HYOD,NonWoody,Forb,Annual,NATIVE,,Forb
HYRI,Hymenoxys richardsonii,HYRI,NonWoody,Forb,Perennial,NATIVE,,Forb
HYRIR,Hymenoxys richardsonii var. richardsonii,HYRIR,NonWoody,Forb,Perennial,NATIVE,,Forb
HYSA,Hymenoclea salsola,HYSA,Woody,Shrub,Perennial,NATIVE,,Shrub
HYVE,Hybanthus verticillatus,HYVE,NonWoody,Forb,Perennial,NATIVE,,Forb
IDSC,Idahoa scapigera,IDSC,NonWoody,Forb,Annual,NATIVE,,Forb
ILBA,Iliamna bakeri,ILBA,NonWoody,Forb,Perennial,NATIVE,,Forb
ILRI,Iliamna rivularis,ILRI,NonWoody,Forb,Perennial,NATIVE,,Forb
ASSC3,Aster scopulorum,IOAL,NonWoody,Forb,Perennial,NATIVE,,Forb
IOAL,Ionactis alpina,IOAL,NonWoody,Forb,Perennial,NATIVE,,Forb
IOST,Ionactis stenomeres,IOST,NonWoody,Forb,Perennial,NATIVE,,Forb
IPAG,Ipomopsis aggregata,IPAG,NonWoody,Forb,Perennial,NATIVE,,Forb
IPAGA3,Ipomopsis aggregata subsp. aggregata,IPAGA3,NonWoody,Forb,Perennial,NATIVE,,Forb
IPCO2,Ipomoea costellata,IPCO2,NonWoody,Forb,Annual,NATIVE,,Forb
IPCO5,Ipomopsis congesta,IPCO5,NonWoody,Forb,Perennial,NATIVE,,Forb
