ORIG_OID,OVERLAP_OID,ProjectKey,PrimaryKey,DateVisited
42895,34261,BLM_AIM,CA_ELFO_Fuels_2023_Bald-B1-01_V12023-09-01,2023-06-22
42896,34304,BLM_AIM,CA_ELFO_Fuels_2023_Bald-B10A-01_V12023-09-01,2023-06-22
42897,34255,BLM_AIM,CA_ELFO_Fuels_2023_Bald-B2-01_V12023-09-01,2023-06-22
42898,34231,BLM_AIM,CA_ELFO_Fuels_2023_Bald-B3-01_V12023-09-01,2023-06-22
42899,28232,BLM_AIM,CA_ELFO_INT_BeckF_2022_Beckwourth01_V12022-09-01,2022-06-29
42900,28236,BLM_AIM,CA_ELFO_INT_BeckF_2022_Beckwourth02_V12022-09-01,2022-04-20
42901,28260,BLM_AIM,CA_ELFO_INT_BeckF_2022_Beckwourth03_V12022-09-01,2022-04-20
42902,28294,BLM_AIM,CA_ELFO_INT_BeckF_2022_Beckwourth04_V12022-09-01,2022-06-20
42903,28264,BLM_AIM,CA_ELFO_INT_BeckF_2022_Beckwourth05_V12022-09-01,2022-04-20
42904,28297,BLM_AIM,CA_ELFO_INT_BeckF_2022_Beckwourth06_V12022-09-01,2022-06-19
42905,28571,BLM_AIM,CA_ELFO_INT_BeckF_2022_NORCALRV2037_V22022-09-01,2022-06-29
42906,29788,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyHerbicide01_V12022-09-01,2022-05-04
42907,29829,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimControl_28_V12022-09-01,2022-09-01
42908,29836,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimControl_29_V12022-09-01,2022-09-01
42909,29402,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimControl_30_V12022-09-01,2022-06-27
42910,29357,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimControl_31_V12022-09-01,2022-07-11
42911,29253,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimControl_32_V12022-09-01,2022-06-08
42912,29418,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2021_19_V12022-09-01,2022-05-16
42913,29333,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2021_20_V12022-09-01,2022-08-31
42914,29553,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2021_21_V12022-09-01,2022-05-12
42915,29794,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2021_22_V12022-09-01,2022-05-03
42916,29448,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2021_23_V12022-09-01,2022-09-16
42917,29174,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2022_10_V12022-09-01,2022-06-07
42918,29284,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2022_11_V12022-09-01,2022-09-02
42919,29235,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2022_12_V12022-09-01,2022-06-12
42920,29371,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2022_13_V12022-09-01,2022-09-16
42921,29198,BLM_AIM,CA_ELFO_INT_DryVal_2022_DryValleyRimTreatmentArea2022_14_V12022-09-01,2022-09-15
42922,29613,BLM_AIM,CA_ELFO_INT_DryVal_2022_NORCALNONR1008_V22022-09-01,2022-05-11
