LDCpointID,ProjectKey,PrimaryKey,DateVisited,TrtPolyID,Trt_Type_Major,Trt_Type_Sub,comp_date_est
121,BLM_AIM,20213515200110B1,2021-06-23,7828,Herbicide/Weeds/Chemical,Herbicide,2007-06-19
122,BLM_AIM,NML00000_2020_Shallow_5702019-09-01,2019-10-02,,,,
123,BLM_AIM,18112321435962012018-09-01,2018-08-13,,,,
124,BLM_AIM,20153525201718B2,2015-09-01,,,,
125,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_018_V12020-09-01,2020-08-17,30920,Prescribed Burn,Prescribed Burn,2017-03-03
126,BLM_AIM,18111909175538052018-09-01,2018-08-06,,,,
127,BLM_AIM,20213515200110B2,2021-06-23,,,,
128,BLM_AIM,NM_Carlsbad_LUP_2019_ChiStatic_231_V12021-09-01,2021-10-12,,,,
129,BLM_AIM,NML00000_2019_Loam_3452019-09-01,2019-10-16,,,,
130,BLM_AIM,1908200908402342019-09-01,2019-08-19,,,,
131,BLM_AIM,NML00000_Panel2_MIMB_0162019-09-01,2019-09-20,,,,
132,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_080_V12020-09-01,2020-10-03,,,,
133,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_541_V12020-09-01,2020-11-09,,,,
134,BLM_AIM,AZ_TFO_LUP_2020_WHWD-418_V12023-09-01,2023-09-10,,,,
135,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-470_V22021-09-01,2021-08-26,,,,
136,BLM_AIM,NM_Carlsbad_LUP_2019_ChiStatic_219_V12020-09-01,2020-09-01,,,,
137,BLM_AIM,16100310170018152016-09-01,2016-10-02,,,,
138,BLM_AIM,NML00000_2020_Loam_3472019-09-01,2019-10-16,,,,
139,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_168_V12022-09-01,2022-11-03,,,,
140,BLM_AIM,NML00000_2019_Loam_3462019-09-01,2019-10-17,,,,
141,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-483_V22021-09-01,2021-10-04,,,,
142,BLM_AIM,17120109184541602017-09-01,2017-10-17,,,,
143,BLM_AIM,1811231303578082018-09-01,2018-08-07,,,,
144,BLM_AIM,16100313165889972016-09-01,2016-10-02,,,,
145,BLM_AIM,NM_LasCrucesDO_2016_LUP_Shallow-548_V22021-09-01,2021-08-25,,,,
146,BLM_AIM,NML00000_2019_Mal_3982019-09-01,2019-10-12,,,,
147,BLM_AIM,NML00000_2020_Loam_3482019-09-01,2019-10-16,,,,
148,BLM_AIM,NM_Carlsbad_LUP_2019_Gypsum_470_V12020-09-01,2020-09-23,30920,Prescribed Burn,Prescribed Burn,2017-03-03
149,BLM_AIM,1000000692018-09-01,2018-09-03,,,,
150,BLM_AIM,NMP02000_Year1_HabActive_5212019-09-01,2019-12-04,,,,
151,BLM_AIM,AZ_TFO_LUP_2020_WHWD_414_V12022-09-01,2022-09-26,,,,
152,BLM_AIM,20113513020201R1,2011-10-31,,,,
153,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_188_V12022-09-01,2022-10-25,,,,
154,BLM_AIM,NM_LasCrucesDO_2016_LUP_Loam-337_V22021-09-01,2021-09-22,,,,
155,BLM_AIM,17100809103967162017-09-01,2017-10-04,,,,
156,BLM_AIM,20183535201105B1,2018-05-04,,,,
157,BLM_AIM,19081514500388782019-09-01,2019-08-14,,,,
158,BLM_AIM,20153515200103B1,2015-07-31,,,,
159,BLM_AIM,18101513324313092018-09-01,2018-10-14,,,,
160,BLM_AIM,NM_LasCrucesDO_2016_LUP_Loam-334_V22021-09-01,2021-09-21,,,,
161,BLM_AIM,16102716461144672016-09-01,2016-10-23,,,,
162,BLM_AIM,NML00000_2020_Sandy_5172019-09-01,2019-10-28,,,,
163,BLM_AIM,NML00000_Panel19_MIMB_2812019-09-01,2020-02-12,,,,
164,BLM_AIM,20143513201407B1,2014-06-11,,,,
165,BLM_AIM,20153515200103B2,2015-07-31,,,,
166,BLM_AIM,NM_LasCrucesDO_2016_LUP_Mal-383_V22021-09-01,2021-08-19,,,,
167,BLM_AIM,17110115314049412017-09-01,2017-10-22,,,,
168,BLM_AIM,20153513201411B1,2015-06-04,,,,
169,BLM_AIM,20153513201411B2,2015-06-04,,,,
170,BLM_AIM,20183535201105B2,2018-05-04,,,,
171,BLM_AIM,NML00000_2019_Shallow_5662019-09-01,2019-10-02,,,,
172,BLM_AIM,20143513201407B2,2014-06-11,,,,
173,BLM_AIM,NMP02000_Year1_HabActive_5092019-09-01,2019-10-09,,,,
174,BLM_AIM,NML00000_2019_Hills_2122019-09-01,2019-10-01,,,,
175,BLM_AIM,NM_LasCrucesDO_2016_LUP_Loam-333_V22021-09-01,2021-09-22,,,,
176,BLM_AIM,16080412354714602016-09-01,2016-08-03,,,,
178,BLM_AIM,NM_LasCrucesDO_2016_LUP_Shallow-555_V22021-09-01,2021-08-17,,,,
179,BLM_AIM,18010514045283942017-09-01,2017-10-19,,,,
180,BLM_AIM,16100510513021652016-09-01,2016-10-04,,,,
181,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-462_V22021-09-01,2021-09-16,,,,
182,BLM_AIM,NML00000_OverSamp_MIMB_3052019-09-01,2019-09-19,,,,
183,BLM_AIM,20113513020201R2,2011-08-10,,,,
184,BLM_AIM,18101810201342682018-09-01,2018-10-17,,,,
185,BLM_AIM,AZ_TFO_LUP_2020_SP_383_V12022-09-01,2022-09-23,,,,
187,BLM_AIM,17102310064053812017-09-01,2017-10-16,,,,
188,BLM_AIM,NM_LasCrucesDO_2016_LUP_Bottom-005_V22021-09-01,2021-09-14,,,,
189,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_026_V12020-09-01,2020-10-11,,,,
190,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-482_V22021-09-01,2021-09-24,,,,
191,BLM_AIM,17110616112979972017-09-01,2017-11-05,,,,
192,BLM_AIM,18091113542463092018-09-01,2018-08-14,,,,
193,BLM_AIM,NML00000_2020_Loam_3502019-09-01,2019-10-15,,,,
194,BLM_AIM,20092114080698092020-09-01,2020-09-20,,,,
195,BLM_AIM,18101609341832862018-09-01,2018-10-14,,,,
196,BLM_AIM,NMP02000_Year1_ChiStatic_2152019-09-01,2019-10-23,,,,
197,BLM_AIM,NML00000_2019_Sandy_5022019-09-01,2019-10-11,,,,
198,BLM_AIM,NM_CFO_FUELS_TRGT_2023_Fuels_7_V12023-09-01,2023-09-07,30454,Prescribed Burn,Prescribed Burn,2008-04-14
199,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_022_V12020-09-01,2020-08-24,,,,
200,BLM_AIM,NMP02000_2019_Reclaim_0942019-09-01,2019-10-29,,,,
201,BLM_AIM,20123529020801R2,2012-06-25,,,,
202,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-479_V22021-09-01,2021-11-22,,,,
203,BLM_AIM,17120410561463082017-09-01,2017-10-18,,,,
204,BLM_AIM,AZ_TFO_LUP_2020_SP-399_V12023-09-01,2023-09-20,,,,
205,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_042_V12021-09-01,2021-07-08,30718,Prescribed Burn,Prescribed Burn,2016-03-24
206,BLM_AIM,18112314482833062018-09-01,2018-08-08,,,,
207,BLM_AIM,20123529020801R1,2012-06-26,,,,
208,BLM_AIM,NM_Carlsbad_LUP_2019_ChiStatic_227_V12021-09-01,2021-10-11,,,,
209,BLM_AIM,NML00000_2019_Sandy_4972019-09-01,2019-08-15,,,,
210,BLM_AIM,NMP02000_Year1_ChiActive_0142019-09-01,2019-09-09,,,,
211,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_060_V12020-09-01,2020-10-04,,,,
212,BLM_AIM,NMP02000_Year1_ChiActive_0102019-09-01,2019-09-05,,,,
213,BLM_AIM,1000000032018-09-01,2018-08-16,,,,
214,BLM_AIM,1801050800368442017-09-01,2017-10-16,,,,
215,BLM_AIM,NM_LasCrucesDO_2016_LUP_Loam-338_V22021-09-01,2021-09-21,,,,
216,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_554_V12021-09-01,2021-08-17,,,,
217,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-474_V22021-09-01,2021-09-16,,,,
218,BLM_AIM,17102312015948222017-09-01,2017-10-20,,,,
219,BLM_AIM,NM_LCDO_LUP_TRICOUNTY_2017_BOO_066_V12022-09-01,2022-09-02,,,,
220,BLM_AIM,NM_CFO_FUELS_TRGT_2023_Fuels_10_V12023-09-01,2023-09-07,30687,Prescribed Burn,Prescribed Burn,2012-03-05
221,BLM_AIM,18091109070983212018-09-01,2018-09-04,,,,
222,BLM_AIM,NM_LasCrucesTriCounty_2017_SA_414_V12020-09-01,2020-08-13,,,,
223,BLM_AIM,NM_LasCrucesTriCounty_2017_MHI_372_V12020-09-01,2020-12-04,,,,
224,BLM_AIM,NM_LasCrucesDO_2019_LUP_MIMB-124_V12021-09-01,2021-11-19,,,,
225,BLM_AIM,NM_LasCrucesDO_2019_LUP_MIMB-136_V12021-09-01,2021-12-05,,,,
226,BLM_AIM,17102311070931422017-09-01,2017-10-18,,,,
227,BLM_AIM,NM_LasCrucesDO_2016_LUP_Gravel-052_V22021-09-01,2021-10-03,,,,
228,BLM_AIM,AZ_TFO_LUP_2020_SP_375_V12022-09-01,2022-09-25,,,,
229,BLM_AIM,AZ_TFO_LUP_2020_SP-404_V12023-09-01,2023-09-10,,,,
230,BLM_AIM,NM_LasCrucesTriCounty_2017_BOO_062_V12020-09-01,2021-01-17,,,,
231,BLM_AIM,NML00000_2019_Sandy_5062019-09-01,2019-09-26,,,,
232,BLM_AIM,20193515200107B1,2019-06-19,,,,
233,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-467_V22021-09-01,2021-09-20,,,,
234,BLM_AIM,16102716152679242016-09-01,2016-10-23,,,,
235,BLM_AIM,AZ_AZ-Tucson-Field-Office-2021_SP-364_V12021-09-01,2021-10-02,,,,
236,BLM_AIM,NML00000_2019_Sandy_4982019-09-01,2019-08-26,,,,
237,BLM_AIM,NM_LasCrucesDO_2016_LUP_Hills-193_V22021-09-01,2021-08-24,,,,
238,BLM_AIM,16101909591228152016-09-01,2016-10-18,,,,
239,BLM_AIM,NM_LasCrucesDO_2016_LUP_Shallow-547_V22021-09-01,2021-08-17,,,,
240,BLM_AIM,16110311203199692016-09-01,2016-11-01,,,,
241,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_526_V12020-09-01,2020-09-30,,,,
242,BLM_AIM,NM_LCDO_LUP_TRICOUNTY_2017_GRO_149_V12022-09-01,2022-08-31,,,,
244,BLM_AIM,20183515200115B1,2018-05-01,,,,
245,BLM_AIM,20203515200117B1,2020-05-20,,,,
246,BLM_AIM,1908181748432262019-09-01,2019-08-17,,,,
247,BLM_AIM,20183515200115B2,2018-05-01,,,,
248,BLM_AIM,20203515200117B2,2020-05-20,,,,
249,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-217_V12023-09-01,2023-09-13,,,,
250,BLM_AIM,NMP02000_Year1_Gypsum_4662019-09-01,2019-10-22,,,,
251,BLM_AIM,20123535010801O2,2013-09-24,,,,
252,BLM_AIM,NM_LasCrucesTriCounty_2017_MHI_381_V12020-09-01,2021-01-21,,,,
253,BLM_AIM,17091809452819232017-09-01,2017-09-10,,,,
254,BLM_AIM,NML00000_Panel6_MIMB_0772019-09-01,2019-11-22,,,,
255,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-478_V22021-09-01,2021-08-25,,,,
256,BLM_AIM,17102310271841322017-09-01,2017-10-16,,,,
257,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-236_V12023-09-01,2023-10-25,,,,
258,BLM_AIM,20113529010101O1,2011-08-05,,,,
259,BLM_AIM,NML00000_Panel1_MIMB_0132019-09-01,2019-10-01,,,,
260,BLM_AIM,NML00000_Panel20_MIMB_2962019-09-01,2019-11-18,,,,
261,BLM_AIM,17091807354794372017-09-01,2017-09-11,,,,
262,BLM_AIM,20123535010801O3,2013-09-24,,,,
263,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-229_V12023-09-01,2023-08-31,,,,
264,BLM_AIM,NMP02000_Year1_HabActive_5102019-09-01,2019-10-09,,,,
265,BLM_AIM,20113529010101O2,2011-08-04,,,,
266,BLM_AIM,NM_LasCrucesTriCounty_2017_GRO_137_V12020-09-01,2020-11-19,,,,
267,BLM_AIM,NML00000_2020_Mal_4042019-09-01,2019-10-01,,,,
268,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_167_V12022-09-01,2022-11-02,,,,
269,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_053_V12020-09-01,2020-10-28,,,,
270,BLM_AIM,18101711091244872018-09-01,2018-10-16,,,,
271,BLM_AIM,AZ_AZ-Tucson-Field-Office-2021_SP-363_V12021-09-01,2021-10-04,,,,
272,BLM_AIM,NML00000_2020_Hills_2212019-09-01,2019-09-30,,,,
273,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_553_V12021-09-01,2021-08-16,,,,
274,BLM_AIM,NML00000_2019_Gravel_0642019-09-01,2019-09-25,,,,
275,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_189_V12022-09-01,2022-12-02,,,,
276,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_037_V12021-09-01,2021-06-24,,,,
277,BLM_AIM,NM_LCDO_LUP_TRICOUNTY_2017_GU_194_V12022-09-01,2022-10-24,,,,
278,BLM_AIM,NM_LasCrucesTriCounty_2017_LOO_312_V12020-09-01,2021-01-20,,,,
279,BLM_AIM,NML00000_Panel20_MIMB_2862019-09-01,2019-09-17,,,,
280,BLM_AIM,20143525201708B1,2014-07-22,,,,
281,BLM_AIM,16111616411999302016-09-01,2016-11-13,,,,
282,BLM_AIM,NM_LasCrucesTriCounty_2017_MHI_369_V12020-09-01,2021-01-18,,,,
283,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_041_V12020-09-01,2020-09-23,,,,
284,BLM_AIM,20143525201708B2,2014-07-22,,,,
286,BLM_AIM,NM_LCDO_LUP_TRICOUNTY_2017_HI_221_V12022-09-01,2022-09-03,,,,
287,BLM_AIM,NM_LasCrucesDO_2016_LUP_Gsand-143_V22021-09-01,2021-10-03,,,,
288,BLM_AIM,16083116262962852016-09-01,2016-08-24,,,,
