LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
24117,18061816244840872018-09-01,9070,26831
24118,20144947101307B2,9070,26831
24124,UT_Vernal-LUP-Random-2017_MBS-605_V12020-09-01,9070,26831
24132,UT_VFO_HAF_2022_GRSG_HAB_021_V12022-09-01,9070,26831
5306,NM_RPFO_LUP_2022_RPFO2022_039_V12022-09-01,9081,26888
5315,NM_RioPuerco_LUP_2017_GR-062_V12021-09-01,9081,26888
15361,UT_Moab-LUP-Random-2017_MSHWMS-357_V12021-09-01,9086,26895
49779,20081510253832402020-09-01,9135,27034
49653,18080910290276592018-09-01,9137,27026
49760,OR_MFO_2021_MFO2021-130_V12022-09-01,9137,27026
49764,20070311010112672020-09-01,9137,27026
49959,17082608463429072017-09-01,9137,27026
49971,1807280951137992018-09-01,9137,27026
49972,OR_MFO_2021_MFO2021-266_V22023-09-01,9137,27026
50013,20070309073256532020-09-01,9137,27026
50055,20194125263624B2,9137,27026
50060,19071609401177472019-09-01,9137,27026
50079,20194125263624B3,9137,27026
50202,19071614115165102019-09-01,9137,27026
50661,19053016201695662019-09-01,9137,27026
1398,NM_LasCrucesDO_2016_LUP_Hills-198_V22021-09-01,9146,27036
1399,17110814241992362017-09-01,9146,27036
31240,19080713523782942019-09-01,9171,27111
19991,19060320032151572019-09-01,9187,27158
19991,19060320032151572019-09-01,9188,27159
18199,CA_Bishop-LUP-2020_MES-033_V12020-09-01,9194,27177
5646,20203545202505B1,9196,27190
5651,20203545202505B2,9196,27190
5669,NM_FFO_LUP_2020_LOAM_218_V12022-09-01,9196,27190
6186,NM_Farmingtion_LUP_2020_LOAM_188_V12021-09-01,9196,27190
36723,20123213132001R1,9200,27197
36766,20123213132001R2,9200,27197
37061,20203213106908B1,9200,27197
37078,20203213106908B2,9200,27197
41463,ID_JarbidgeFOLUP2017_BSWD-196_V12021-09-01,9205,27214
39765,ID_JarbridgeFOLUP2017_BSWD-167_V12020-09-01,9221,27267
26663,20185637102920B2,9245,27343
11311,NV_EYDO_LUP_2021_EDO2021-NR-106_V12023-09-01,9263,71077
6864,NMF02000_2019_ESD_SanAntonio_Site-222019-09-01,9266,27396
6888,NMF02000_2019_MTN-2112019-09-01,9266,27396
6889,NM_TaosFieldOffice_2021_TC_037_V22021-09-01,9266,27396
45215,20205617105917B3,9287,27457
55631,20164117191513B2,9302,27464
52586,20194145201408B2,9316,27483
52586,20194145201408B2,9317,27484
22542,NV_NV-CC-DO-Navy-Withdrawl-2021_BF-002_V12021-09-01,9328,27514
22274,NV_CCDO_LUP_2021_CCDO2021-NR-036_V12023-09-01,9330,27516
36713,20151631200310B1,9340,27547
36744,20151631200310B2,9340,27547
36940,20111631030901O2,9340,27547
36969,20111631030901O1,9340,27547
49540,20171673103220B2,9341,27549
53986,ID_FourRiversFOLUP2019_PLN-170_V12021-09-01,9353,27568
44621,16052609211763252016-09-01,9450,27819
21881,20224945202106B1,9488,27961
11283,19072908161864392019-09-01,9543,28123
22929,20164945202111B1,9552,28132
22959,18053108474374132018-09-01,9553,28134
52386,20204125252407B3,9576,28200
28816,20233215202908B2,9595,28267
28909,11051015085118672011-09-01,9595,28267
28910,NV_EKDO_LUP_2021_EKDO2021-104_V22023-09-01,9595,28267
28975,20153215202907B1,9595,28267
28980,20153215202907B2,9595,28267
29227,NV_EKDO_LUP_2021_EKDO2021_072_V22022-09-01,9595,28267
