FID_TrtPoly009,Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID,FID_MLRA,MLRA_ID,MLRARSYM,MLRA_NAME,LRRSYM,LRR_NAME,Shape_Length,Shape_Area
652,7288,19936,5/22/1958,6/2/1958,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,6668,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,14112.807346453901118,4609844.484789889305830
653,7289,19937,10/18/1944,12/2/1944,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Discing,6669,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,9295.666405654525079,2301190.317246183753014
654,7289,19938,10/18/1944,12/2/1944,Seeding,Drill Seeding,Ground Seeding: Drill,6670,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,9295.666405654525079,2301190.317246183753014
826,9314,25313,3/15/2007,3/23/2007,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,8507,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,3606.579889606608958,459709.391634148603771
906,10062,27343,10/3/2006,10/14/2006,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,9245,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,28933.768010131170740,2596404.724681091494858
1786,25838,73365,2/9/1998,2/16/1998,Prescribed Burn,Prescribed Burn,Prescribed Burn,30412,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,18235.973756891642552,5917719.036174448207021
1968,25843,73370,9/15/1999,9/22/1999,Prescribed Burn,Prescribed Burn,Prescribed Burn,30417,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,7017.190592143053436,1856439.372757962904871
1972,25873,73400,10/3/2006,10/14/2006,Prescribed Burn,Prescribed Burn,Prescribed Burn,30447,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,5666.337380545687665,373524.128473088145256
1983,25963,73490,9/3/1986,9/6/1986,Prescribed Burn,Prescribed Burn,Prescribed Burn,30537,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,77292.132288322827662,4200310.875463886186481
2022,26326,73853,9/28/2015,9/29/2015,Prescribed Burn,Prescribed Burn,Prescribed Burn,30900,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,6948.287444399291417,640582.867411177605391
6,128,317,6/14/1964,6/15/1964,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,133,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,9869.843603258690564,4701525.273013755679131
215,2271,6216,6/3/1965,6/8/1965,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,2103,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,19509.550238001771504,10737898.172526553273201
216,2271,6215,6/3/1965,6/8/1965,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,2104,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,32771.746575182885863,24948520.693502966314554
301,3245,9074,5/29/1961,5/30/1961,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,2954,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,19957.316780578221369,7329276.126087737269700
501,5454,15111,6/3/1962,6/3/1962,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,4982,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,10058.355129857614884,1063091.639190427493304
502,5456,15117,6/3/1962,6/3/1962,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,4988,53,53,48B,Southern Rocky Mountain Parks and Valleys,E,Rocky Mountain Range and Forest Region,3842.260449661860548,353383.525682053819764
