PrimaryKey,ORIG_OID
11071015285437272011-09-01,450
110711075947482011-09-01,451
11071110310228602011-09-01,452
11071113484610282011-09-01,453
11071207451626162011-09-01,454
11071208081794892011-09-01,455
11071209074761192011-09-01,456
11071210221988292011-09-01,457
11071211343231192011-09-01,458
11071212273793442011-09-01,459
11071213435453152011-09-01,460
11071215162881052011-09-01,461
11071215424257812011-09-01,462
11071216353372922011-09-01,463
11071308224011522011-09-01,464
11071308413741322011-09-01,465
1107131326555622011-09-01,466
11071316525452742011-09-01,467
11071409184817042011-09-01,468
11071416305246872011-09-01,469
11071914483541592011-09-01,470
11072008244616702011-09-01,471
11072009130473572011-09-01,472
11072011374418502011-09-01,473
1107201452437912011-09-01,474
1107201610162202011-09-01,475
11072108581185312011-09-01,476
11072109120461482011-09-01,477
1107211207049992011-09-01,478
11072113574170092011-09-01,479
11072115373146702011-09-01,480
11072211404665312011-09-01,481
11072213521792062011-09-01,482
11072307394370942011-09-01,483
11072310042866212011-09-01,484
11072313011363302011-09-01,485
11072315364478672011-09-01,486
11072409181231932011-09-01,487
11072412310711112011-09-01,488
11072415234780912011-09-01,489
11072507214298132011-09-01,490
11072508154737842011-09-01,491
11072509395242212011-09-01,492
11072512415973882011-09-01,493
11072513425060122011-09-01,494
11072514075874412011-09-01,495
11072514211137502011-09-01,496
11072607304352332011-09-01,497
11072607352025982011-09-01,498
1107260917168932011-09-01,499
11072610074450232011-09-01,500
11072612544668432011-09-01,501
11072614352673692011-09-01,502
11072614502775462011-09-01,503
11072615390557282011-09-01,504
11072615551383342011-09-01,505
11072707550715772011-09-01,506
11072709134515572011-09-01,507
11072717110297852011-09-01,508
11072816381475512011-09-01,509
11072818162085162011-09-01,510
11080212441938602011-09-01,511
11080215305323842011-09-01,512
11080308170681472011-09-01,513
11080311304789952011-09-01,514
11080312091142332011-09-01,515
11080312491534902011-09-01,516
11080314390611842011-09-01,517
11080315130725392011-09-01,518
11080315172784492011-09-01,519
11080318121198472011-09-01,520
11080407065046382011-09-01,521
11080407252944472011-09-01,522
11080407311672632011-09-01,523
11080408330971142011-09-01,524
11080410064492532011-09-01,525
11080410270082902011-09-01,526
11080413124167962011-09-01,527
11080414133291382011-09-01,528
11080415583568752011-09-01,529
11080508071052672011-09-01,530
11080508115095172011-09-01,531
11080510561050352011-09-01,532
11080513332169902011-09-01,533
11080514503393902011-09-01,534
1108060943148702011-09-01,535
11080612321369802011-09-01,536
11080615333751852011-09-01,537
11080707540690102011-09-01,538
11080708442050062011-09-01,539
11080710395182922011-09-01,540
11080713583778922011-09-01,541
1108080749063182011-09-01,542
11080810025239612011-09-01,543
1108091000047972011-09-01,544
11080912300265952011-09-01,545
11080914144493902011-09-01,546
11081007443496122011-09-01,547
11081008320820392011-09-01,548
11081009002710512011-09-01,549
11081011003258102011-09-01,550
11081014032789832011-09-01,551
11081014284855102011-09-01,552
11081015353911202011-09-01,553
11081016451548902011-09-01,554
11081112202263572011-09-01,555
11081113580564602011-09-01,556
11081115110480382011-09-01,557
11081115421357802011-09-01,558
11081115524533742011-09-01,559
11081207172539622011-09-01,560
11081209232933712011-09-01,561
11081210530563632011-09-01,562
