PrimaryKey,richness,EcoSiteID,trt_control,MLRA_name
20061017105122862020-09-01,7,R011XY001ID,Control,Snake River Plains
20211647200111B2,6,R011XY001ID,Control,Snake River Plains
ID_BFO_LUP_2022_BigWD_074_V12022-09-01,5,R011XY001ID,Control,Snake River Plains
ID_BUFO_LUP_2021_NAT_022_V12022-09-01,11,R011XY001ID,Control,Snake River Plains
ID_FRFO_LUP_2019_PLN_202_V12022-09-01,13,R011XY001ID,Control,Snake River Plains
ID_FRFO_LUP_2019_PLN_210_V12022-09-01,18,R011XY001ID,Control,Snake River Plains
ID_FRFO_LUP_2019_PLN_214_V12022-09-01,11,R011XY001ID,Control,Snake River Plains
ID_FourRiversFOLUP2019_PLN-165_V12021-09-01,12,R011XY001ID,Control,Snake River Plains
ID_FourRiversFOLUP2019_PLN-178_V12021-09-01,4,R011XY001ID,Control,Snake River Plains
ID_FourRiversFOLUP2019_PLN-179_V12021-09-01,9,R011XY001ID,Control,Snake River Plains
ID_FourRiversFOLUP2019_PLN-181_V12021-09-01,13,R011XY001ID,Control,Snake River Plains
ID_FourRiversFOLUP2019_PLN-182_V12021-09-01,10,R011XY001ID,Control,Snake River Plains
ID_JFO_LUP_2017_BSWD_205_V12022-09-01,7,R011XY001ID,Control,Snake River Plains
ID_SHFO_LUP_2017_BWD_142_V12022-09-01,9,R011XY001ID,Control,Snake River Plains
ID_SHFO_LUP_2017_OT_303_V12022-09-01,10,R011XY001ID,Control,Snake River Plains
ID_SHFO_LUP_2017_OT_305_V12022-09-01,9,R011XY001ID,Control,Snake River Plains
ID_SHFO_LUP_2017_SDM_371_V12022-09-01,10,R011XY001ID,Control,Snake River Plains
ID_SHFO_LUP_2023_BSWD-005_V22023-09-01,6,R011XY001ID,Control,Snake River Plains
ID_ShoshoneFOLUP2017_BWD-123_V12021-09-01,13,R011XY001ID,Control,Snake River Plains
ID_USFO_LUP_2023_USFO2023-018_V22023-09-01,16,R011XY001ID,Control,Snake River Plains
19052110115658812019-09-01,9,R011XY004ID,Control,Snake River Plains
20211653105204B1,4,R011XY004ID,Control,Snake River Plains
20221631102215B2,7,R011XY004ID,Control,Snake River Plains
ID_BUFO_LUP_2021_SEED_NR_004_V12022-09-01,13,R011XY004ID,Control,Snake River Plains
ID_SHFO_LUP_2017_SDM_370_V12022-09-01,13,R011XY004ID,Control,Snake River Plains
ID_SHFO_LUP_2017_LWD_250_V12022-09-01,18,R011XY005ID,Control,Snake River Plains
18073113442453132018-09-01,14,R011XY007ID,Control,Snake River Plains
ID_BFO_LUP_2022_SD-287_V12023-09-01,11,R011XY010ID,Control,Snake River Plains
16060707484924862016-09-01,7,R011XY014ID,Control,Snake River Plains
17061914531314122017-09-01,5,R011XY014ID,Control,Snake River Plains
19062909421292472019-09-01,11,R011XY014ID,Control,Snake River Plains
ID_BurleyFO_LUP_Revisit_2021_SEED-NR-002_V12021-09-01,9,R011XY014ID,Control,Snake River Plains
ID_JFO_LUP_2023_BSSH2023-003_V22023-09-01,2,R011XY014ID,Control,Snake River Plains
17070309431469012017-09-01,5,UNKNOWN,Control,Snake River Plains
18060117335354192018-09-01,6,UNKNOWN,Control,Snake River Plains
1905151122529482019-09-01,9,UNKNOWN,Control,Snake River Plains
ID_FRFO_LUP_2019_PLN_209_V12022-09-01,20,X000XUnknown,Control,Snake River Plains
ID_FourRiversFOLUP2019_PLN-194_V12021-09-01,7,X000XUnknown,Control,Snake River Plains
ID_FourRiversFOLUP2019_PLN-163_V12021-09-01,9,,Control,Snake River Plains
ID_FourRiversFOLUP2019_PLN-193_V12021-09-01,14,,Control,Snake River Plains
ID_OFO_AIMTrend_2023_01S03W04_V12023-09-01,4,,Control,Snake River Plains
OR_MFO_2021_MFO2021-204_V22023-09-01,7,,Control,Snake River Plains
